cod_ibge;mun;area
"3501608";"AMERICANA";133912
"3503802";"ARTUR NOGUEIRA";178026
"3509502";"CAMPINAS";794571
"3512803";"COSMÓPOLIS";154665
"3515152";"ENGENHEIRO COELHO";109941
"3519055";"HOLAMBRA";65577
"3519071";"HORTOLÂNDIA";62416
"3520509";"INDAIATUBA";311545
"3523404";"ITATIBA";322269
"3524709";"JAGUARIÚNA";141391
"3531803";"MONTE MOR";240566
"3532009";"MORUNGABA";146752
"3533403";"NOVA ODESSA";73788
"3536505";"PAULÍNIA";138777
"3537107";"PEDREIRA";108817
"3545803";"SANTA BÁRBARA D'OESTE";271030
"3548005";"SANTO ANTÔNIO DE POSSE";154133
"3552403";"SUMARÉ";153465
"3556206";"VALINHOS";148538
"3556701";"VINHEDO";80950
