ano;esperanca;esperanca_homens;esperanca_mulheres;mortalidade_infantil;mortalidade_infantil_homens;mortalidade_infantil_mulheres
2010;76,1;72,6;79,55;11,98;13,03;10,87
2011;76,47;73,04;79,84;11,58;12,6;10,51
2012;76,82;73,46;80,11;11,19;12,18;10,16
2013;77,16;73,86;80,38;10,83;11,79;9,83
2014;77,48;74,24;80,63;10,49;11,41;9,51
2015;77,79;74,6;80,88;10,16;11,06;9,22
2016;78,08;74,94;81,11;9,85;10,72;8,94
2017;78,36;75,26;81,34;9,56;10,4;8,67
2018;78,62;75,56;81,56;9,28;10,1;8,42
2019;78,87;75,85;81,76;9,01;9,81;8,18
2020;79,11;76,12;81,96;8,77;9,54;7,95
2021;79,33;76,37;82,15;8,53;9,28;7,74
2022;79,54;76,61;82,34;8,31;9,04;7,53
2023;79,74;76,84;82,51;8,09;8,81;7,34
2024;79,93;77,05;82,68;7,89;8,59;7,16
2025;80,11;77,25;82,84;7,71;8,38;6,99
2026;80,28;77,43;82,99;7,52;8,19;6,83
2027;80,44;77,61;83,14;7,36;8;6,68
2028;80,59;77,77;83,28;7,2;7,83;6,53
2029;80,73;77,92;83,41;7,05;7,66;6,4
2030;80,86;78,07;83,54;6,91;7,51;6,27
2031;80,99;78,2;83,66;6,77;7,36;6,15
2032;81,11;78,33;83,78;6,64;7,22;6,04
2033;81,22;78,44;83,89;6,52;7,09;5,93
2034;81,32;78,55;84;6,41;6,96;5,83
2035;81,42;78,65;84,1;6,3;6,84;5,73
2036;81,51;78,75;84,19;6,2;6,73;5,64
2037;81,6;78,83;84,28;6,11;6,63;5,56
2038;81,68;78,92;84,37;6,02;6,53;5,48
2039;81,75;78,99;84,45;5,93;6,43;5,4
2040;81,83;79,06;84,53;5,85;6,34;5,33
2041;81,9;79,13;84,61;5,78;6,26;5,27
2042;81,96;79,19;84,68;5,71;6,18;5,2
2043;82,02;79,25;84,75;5,64;6,11;5,15
2044;82,07;79,3;84,81;5,57;6,04;5,09
2045;82,12;79,35;84,88;5,51;5,97;5,04
2046;82,17;79,4;84,93;5,46;5,91;4,99
2047;82,22;79,44;84,99;5,4;5,85;4,94
2048;82,26;79,48;85,04;5,35;5,79;4,9
2049;82,3;79,52;85,1;5,31;5,74;4,86
2050;82,34;79,56;85,14;5,26;5,69;4,82
2051;82,38;79,59;85,19;5,22;5,64;4,78
2052;82,42;79,62;85,23;5,19;5,6;4,75
2053;82,45;79,65;85,28;5,15;5,56;4,72
2054;82,47;79,67;85,31;5,11;5,52;4,69
2055;82,5;79,7;85,35;5,08;5,48;4,66
2056;82,53;79,72;85,39;5,05;5,44;4,63
2057;82,55;79,74;85,42;5,02;5,41;4,61
2058;82,58;79,76;85,45;4,99;5,38;4,58
2059;82,6;79,77;85,49;4,97;5,35;4,56
2060;82,62;79,79;85,51;4,94;5,32;4,54
