"Divisões Territoriais";"Taxa Urbanização 2010";"Taxa Urbanização 2000"
"Americana";99,5;99,8
"Artur Nogueira";90,5;92
"Campinas";98,3;98,3
"Cosmópolis";92,9;95,7
"Engenheiro Coelho";73,1;69,9
"Holambra";72,4;54,6
"Hortolândia";100;100
"Indaiatuba";99;98,4
"Itatiba";84,4;81,2
"Jaguariúna";97,1;87,2
"Monte Mor";93,9;91,5
"Morungaba";85,4;78,6
"Nova Odessa";98,4;97,7
"Paulínia";99,9;98,9
"Pedreira";99,8;96,9
"Santa Bárbara d'Oeste";99,2;98,7
"Santo Antônio de Posse";91,2;79
"Sumaré";98,8;98,6
"Valinhos";95,2;94,6
"Vinhedo";96,9;97,8
